[asn.txt]                                        2017-02-24 02:05:05Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates
on this information please contact the ARIN Registration Services Hostmaster
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 62781                   SECURITYCOMPASS                                    NOC13265-ARIN (NOC), ABUSE3865-ARIN (Abuse), TECH798-ARIN (Tech), ADMIN4707-ARIN (Admin)
 62782                   GAZL                                               NETWO7212-ARIN (NOC), ABUSE4911-ARIN (Abuse), OLINE-ARIN (Tech), DML26-ARIN (Admin)
 62783                   HOTTOPIC                                           JENKI50-ARIN (Tech), JENKI50-ARIN (Abuse), JENKI50-ARIN (NOC), JENKI50-ARIN (Admin)
 62784                   MIO-AS                                             MIO2-ARIN (Abuse), MIO2-ARIN (Tech), MIO2-ARIN (Admin), MIO2-ARIN (NOC)
 62785                   AMAZON-FC                                          ANO24-ARIN (Tech), IPMAN40-ARIN (Admin), AEA8-ARIN (Abuse)
 62786                   MIMOSA                                             NETWO6110-ARIN (Admin), NETWO6110-ARIN (Abuse), NETWO6110-ARIN (NOC), NETWO6110-ARIN (Tech)
 62787                   ASN-DINETSYS                                       DINOC-ARIN (NOC), DIABU-ARIN (Abuse), DNS1067-ARIN (Tech), DNS1067-ARIN (Admin)
 62789                   PDQATS-AS                                          BOWSE21-ARIN (Admin), BOWSE21-ARIN (Abuse), BOWSE21-ARIN (Tech), BOWSE21-ARIN (NOC)
 62791                   DENOVOVENTURESLLC                                  NOC32591-ARIN (Tech), NOC32591-ARIN (Abuse), NOC32591-ARIN (NOC), DEKON1-ARIN (Admin)
 62792                   SSFCU                                              NOC12931-ARIN (Abuse), NOC12931-ARIN (Tech), NOC12931-ARIN (NOC), NOC12931-ARIN (Admin)
 62793                   SEC                                                JACKS17-ARIN (Admin), JACKS17-ARIN (Abuse), JACKS17-ARIN (Tech)
 62794                   MCG-HEALTH                                         MAA38-ARIN (Tech), MAA38-ARIN (Abuse), MAA38-ARIN (Admin)
 62795                   CITRIXSYSTEMS-AS-US                                WRIGH155-ARIN (Abuse), WRIGH155-ARIN (Tech), WRIGH155-ARIN (Admin)
 62796                   PRISMSYSTEMS-1                                     NETWO6248-ARIN (Admin), NETWO6248-ARIN (Tech), NETWO6248-ARIN (Abuse)
 62797                   CASTO-250CIVICCENTER                               HUFFM53-ARIN (Tech), HUFFM53-ARIN (NOC), HUFFM53-ARIN (Abuse), HUFFM53-ARIN (Admin)
 62798                   OPS                                                MALLO22-ARIN (NOC), MALLO22-ARIN (Admin), MALLO22-ARIN (Abuse), MALLO22-ARIN (Tech)
 62799                   WU                                                 ALBIN4-ARIN (Tech), ALBIN4-ARIN (Admin), ALBIN4-ARIN (Abuse)
 62800                   CIRRUS-AIRCRAFT                                    OBRIE48-ARIN (Abuse), OBRIE48-ARIN (Tech), OBRIE48-ARIN (NOC), OBRIE48-ARIN (Admin)
 62801                   ASN-POLYCLINIC                                     CLACK3-ARIN (NOC), CLACK3-ARIN (Tech), CLACK3-ARIN (Admin), CLACK3-ARIN (Abuse)
 62802                   MST-JCMAIN                                         NOM38-ARIN (Tech), NOM38-ARIN (Admin), NOM38-ARIN (Abuse)
 62803                   UTDAS01                                            BODIO1-ARIN (NOC), SAN50-ARIN (Tech), SAN50-ARIN (Admin), SAN50-ARIN (Abuse), BODIO1-ARIN (Tech)
 62804                   BITSHELTER-NYC                                     JAR173-ARIN (Tech), JAR173-ARIN (Admin), JAR173-ARIN (Abuse)
 62805                   XTOM                                               NOC32368-ARIN (NOC), NOC32368-ARIN (Admin), NOC32368-ARIN (Abuse), NOC32368-ARIN (Tech)
 62806                   TAPAD-CA1                                          SOD8-ARIN (NOC), SOD8-ARIN (Abuse), SOD8-ARIN (Admin), SOD8-ARIN (Tech)
 62807                   NETGRADE                                           MURRA35-ARIN (Admin), MURRA35-ARIN (Tech), MURRA35-ARIN (Abuse), NOC13358-ARIN (NOC)
 62808                   MCGRATH-NORTH                                      CARSO44-ARIN (Tech), CARSO44-ARIN (Abuse), CARSO44-ARIN (NOC), CARSO44-ARIN (Admin)
 62809                   EXPOHL                                             TROUT11-ARIN (Abuse), TROUT11-ARIN (NOC), TROUT11-ARIN (Admin), TROUT11-ARIN (Tech)
 62810                   SUNY-ONEONTA                                       LBI31-ARIN (Admin), RRG1-ARIN (Tech), RRG1-ARIN (Abuse)
 62811                   MTG                                                NOM40-ARIN (Tech), NOM40-ARIN (NOC), NOM40-ARIN (Admin), NOM40-ARIN (Abuse)
 62812                   THENATUREORG-1                                     LB170-ARIN (Tech), LB170-ARIN (Admin), LB170-ARIN (Abuse)
 62813                   AJ-MADISON                                         MADIS90-ARIN (NOC), MADIS90-ARIN (Tech), MADIS90-ARIN (Abuse), BEF4-ARIN (Tech), MADIS90-ARIN (Admin)
 62814                   ZETA-SACRAMENTO                                    NOC11409-ARIN (NOC), NOC11409-ARIN (Admin), NOC11409-ARIN (Tech), NOC11409-ARIN (Abuse)
 62815                   UL-ASN-ASH1                                        IU15-ARIN (Tech), ABUSE175-ARIN (Abuse), IU15-ARIN (Admin)
 62816                   ACCESS-NATIONAL-CORPORATION                        JALIL-ARIN (Tech), JALIL-ARIN (Admin), JALIL-ARIN (Abuse), JALIL-ARIN (NOC)
 62817                   BARRETTHOSPITAL                                    BACON5-ARIN (Admin), BACON5-ARIN (Tech), BACON5-ARIN (Abuse)
 62818                   SPIRAL-COMMUNICATIONS                              HORNB1-ARIN (Tech), HORNB1-ARIN (Abuse), HORNB1-ARIN (Admin), HORNB1-ARIN (NOC)
 62819                   L1-NETWORKS                                        BCL102-ARIN (Admin), BCL102-ARIN (NOC), BCL102-ARIN (Abuse), BCL102-ARIN (Tech)
 62820                   TGLOBAL                                            FAVAT3-ARIN (Admin), FAVAT3-ARIN (Abuse), FAVAT3-ARIN (NOC), FAVAT3-ARIN (Tech)
 62821                   AS-MNX                                             SUPPO1436-ARIN (NOC), SUPPO1436-ARIN (Abuse), SUPPO1436-ARIN (Tech), SUPPO1436-ARIN (Admin)
 62822                   CENTENARYCOLLEGE                                   MLA127-ARIN (Admin), MLA127-ARIN (Tech), MLA127-ARIN (Abuse)
 62823                   CHOICEPR-1                                         LIBER1-ARIN (Tech), ADMIN454-ARIN (Admin), ARA41-ARIN (Abuse), TECHN198-ARIN (Tech)
 62824                   RMP-REGIONAL-MUNICIPALITY-OF-PEEL                  AMI20-ARIN (Tech), JELIC1-ARIN (Admin), MYERS125-ARIN (Tech), JELIC1-ARIN (Abuse), JELIC1-ARIN (Tech)
 62825                   WTC-40-AS                                          INS-NOC-ARIN (Tech), INS-NOC-ARIN (Admin), NNOC17-ARIN (Abuse)
 62826                   CSO-AS                                             DSP23-ARIN (Tech), DSP23-ARIN (Abuse), SINA1-ARIN (Tech), DSP23-ARIN (Admin)
 62827                   GGS-DFW                                            DJK22-ARIN (Tech), PEZIE-ARIN (Admin), PEZIE-ARIN (Tech), PEZIE-ARIN (Abuse)
 62828                   NFINANSE                                           LWG-ARIN (Tech), LWG-ARIN (NOC), LWG-ARIN (Abuse), LWG-ARIN (Admin)
 62829                   PL-BGP                                             ADMIN3285-ARIN (Admin), TECHP23-ARIN (Tech), ABUSE3550-ARIN (Abuse)
 62830                   RIOT-CORP-SVCS                                     TSAID3-ARIN (Abuse), SHARE3-ARIN (Abuse), BJK26-ARIN (Admin), TSAID3-ARIN (Tech), SHARE3-ARIN (Tech)
 62831                   UNIREGISTRY                                        FJO19-ARIN (NOC), FJO19-ARIN (Abuse), FJO19-ARIN (Admin), FJO19-ARIN (Tech)
 62832                   FASTMATCH-1                                        SHCHU1-ARIN (Abuse), SHCHU1-ARIN (Admin), SHCHU1-ARIN (Tech), SHCHU1-ARIN (NOC)
 62833                   HUDSONFIBERNET                                     ROBAT3-ARIN (Abuse), ROBAT3-ARIN (NOC), ROBAT3-ARIN (Admin), ROBAT3-ARIN (Tech)
 62834                   PALIG                                              LEALI-ARIN (NOC), LEALI-ARIN (Admin), LEALI-ARIN (Tech), MEAUX-ARIN (Tech), LEALI-ARIN (Abuse)
 62835                   XRS-AS02                                           HILLB12-ARIN (Abuse), HILLB12-ARIN (Tech), HILLB12-ARIN (NOC), HILLB12-ARIN (Admin)
 62836                   ATS-AS-0001                                        TECHA48-ARIN (Tech), TECHA48-ARIN (Abuse), TECHA48-ARIN (NOC), TECHA48-ARIN (Admin)
 62837                   HC-SF                                              BREME7-ARIN (Admin), BREME7-ARIN (Abuse), BREME7-ARIN (Tech), BREME7-ARIN (NOC)
 62838                   REPRISE-HOSTING                                    NOC13394-ARIN (NOC), NOC13394-ARIN (Admin), NOC13394-ARIN (Tech), NOC13394-ARIN (Abuse)
 62839                   FADV                                               ROYKR-ARIN (Abuse), MSK67-ARIN (Admin), ROYKR-ARIN (NOC), BLACK386-ARIN (Tech), ROYKR-ARIN (Tech)
 62840                   FUTEMEDIA                                          CHARR1-ARIN (Abuse), CHARR1-ARIN (Admin), CHARR1-ARIN (Tech), CHARR1-ARIN (NOC)
 62841                   CITY-OF-NEW-ORLEANS                                NETWO5022-ARIN (Abuse), NETWO5022-ARIN (NOC), NETWO5022-ARIN (Tech), NETWO5022-ARIN (Admin)
 62843                   NEWPIGCORPORATION                                  LUCIA9-ARIN (Tech), LUCIA9-ARIN (NOC), LUCIA9-ARIN (Abuse), LUCIA9-ARIN (Admin)
 62844                   SEIMITSU                                           MRC38-ARIN (Abuse), MRC38-ARIN (Tech), SCO226-ARIN (Admin)
 62845                   AIRENET-1                                          WIRCH-ARIN (Tech), WIRCH-ARIN (NOC), WIRCH-ARIN (Admin), WIRCH-ARIN (Abuse)
 62846                   RWC                                                MCWHI-ARIN (NOC), MCWHI-ARIN (Tech), MCWHI-ARIN (Abuse), MCWHI-ARIN (Admin)
 62847                   STRATUSCORE                                        DANDR4-ARIN (NOC), DANDR4-ARIN (Abuse), BOSSY3-ARIN (Tech), BOSSY3-ARIN (NOC), DANDR4-ARIN (Admin), DANDR4-ARIN (Tech), DANDR2-ARIN (Abuse), DANDR2-ARIN (Tech), DANDR2-ARIN (NOC)
 62848                   PMB                                                GARCI209-ARIN (Abuse), GARCI209-ARIN (NOC), GARCI209-ARIN (Tech), GARCI209-ARIN (Admin)
 62849                   EMOUSA                                             JAINM2-ARIN (Admin), NETWO6081-ARIN (Abuse), JAINM2-ARIN (NOC), JAINM2-ARIN (Tech), NETWO6081-ARIN (NOC)
 62850                   ASN-PCML-9                                         ASNAD7-ARIN (Abuse), ASNAD7-ARIN (Admin), WT27-ARIN (Tech), WT27-ARIN (Abuse)
 62851                   ESOLUTIONS                                         MFT5-ARIN (Abuse), MFT5-ARIN (Admin), MFT5-ARIN (Tech)
 62852                   LPS-9                                              IPADM465-ARIN (NOC), IPADM465-ARIN (Tech), IPADM465-ARIN (Admin), IPADM465-ARIN (Abuse)
 62853                   LAKE-1                                             PTS7-ARIN (NOC), PTS7-ARIN (Admin), MJH49-ARIN (Tech), PTS7-ARIN (Abuse), PTS7-ARIN (Tech)
 62854                   CBI1925                                            JONES519-ARIN (Tech), JONES519-ARIN (Admin), JONES519-ARIN (NOC), JONES519-ARIN (Abuse)
 62855                   CMA-MISCNY                                         DEFOR4-ARIN (Tech), DEFOR4-ARIN (Admin), DEFOR4-ARIN (Abuse)
 62856                   DOCUS-6-PROD                                       BALAF-ARIN (Admin), BALAF-ARIN (Tech), BALAF-ARIN (Abuse)
 62857                   BILLINGSCLINIC                                     NUGEN5-ARIN (Abuse), SWANT2-ARIN (Tech), NUGEN5-ARIN (Tech), NUGEN5-ARIN (Admin)
 62858                   GCHAO01                                            GCC2-ARIN (Abuse), GCC4-ARIN (Tech), GCC1-ARIN (Admin), GCC4-ARIN (NOC)
 62859                   QTTECHEXT                                          LOVEJ8-ARIN (Tech), LOVEJ8-ARIN (Abuse), LOVEJ8-ARIN (Admin)
 62860                   MEDICALTEAMS-HQ                                    TUCKR-ARIN (NOC), TUCKR-ARIN (Tech), TUCKR-ARIN (Admin), TUCKR-ARIN (Abuse)
 62861                   RAYCOM-MEDIA-RSA                                   NETWO6166-ARIN (Admin), NETWO6166-ARIN (Tech), NETWO6166-ARIN (Abuse), NETWO6166-ARIN (NOC)
 62862                   LAYER                                              DAVID171-ARIN (Admin), DAVID171-ARIN (Tech), DAVID171-ARIN (Abuse)
 62863                   AS62863                                            ANDER265-ARIN (Tech), ANDER228-ARIN (Tech), WHITE738-ARIN (Tech), GUSAZ-ARIN (Tech), ANDER265-ARIN (Abuse), ANDER265-ARIN (Admin)
 62864                   VIVW-NET                                           VWNE-ARIN (Tech), VWN2-ARIN (NOC), VWA19-ARIN (Abuse), VWIA-ARIN (Admin)
 62865                   UNIVAR                                             ITS9-ORG-ARIN (Admin), ITS9-ORG-ARIN (Tech), ITS9-ORG-ARIN (Abuse)
 62866                   ACCORDANTMEDIA                                     GREIT-ARIN (NOC), GREIT-ARIN (Admin), GREIT-ARIN (Tech), GREIT-ARIN (Abuse)
 62867                   ALDINEISD-ASN01                                    TRC17-ARIN (Abuse), TONGD-ARIN (Admin), YTP1-ARIN (Tech), YTP1-ARIN (Abuse), TONGD-ARIN (Tech), DRJ2-ARIN (Tech), TRC17-ARIN (NOC), YTP1-ARIN (NOC), DRJ2-ARIN (NOC), DRJ2-ARIN (Abuse), VAUGH107-ARIN (Abuse), TRC17-ARIN (Tech), VAUGH107-ARIN (Tech)
 62868                   DMRC                                               RPL49-ARIN (NOC), RPL49-ARIN (Abuse), RPL49-ARIN (Tech), RPL49-ARIN (Admin)
 62869                   BUFFALO-SM                                         CWA7-ARIN (NOC), BURNS81-ARIN (Abuse), BURNS81-ARIN (Admin), BURNS81-ARIN (Tech)
 62870                   PMG                                                STELM-ARIN (Tech), ADMIN5242-ARIN (Tech), ADMIN5242-ARIN (Admin), LUKOW1-ARIN (Tech), ADMIN5242-ARIN (Abuse)
 62871                   IDAHO-REGIONAL-OPTICAL-NETWORK                     BJJ3-ARIN (Admin), BJJ3-ARIN (Abuse), BJJ3-ARIN (Tech), BJJ3-ARIN (NOC)
 62872                   CBTS-AS-DC2                                        HOSTM264-ARIN (Admin), NETAB9-ARIN (Abuse), ENOC4-ARIN (NOC), CBTSH-ARIN (Tech)
 62873                   SEQ-NET                                            POWER52-ARIN (NOC), POWER52-ARIN (Tech), POWER52-ARIN (Admin), POWER52-ARIN (Abuse)
 62874                   WEB2OBJECTS                                        NOCTE18-ARIN (Tech), NOCTE18-ARIN (Abuse), NOCTE18-ARIN (Admin)
 62875                   MEADEWILLIS                                        COMTO-ARIN (NOC), COMTO-ARIN (Admin), COMTO-ARIN (Abuse), COMTO-ARIN (Tech)
 62876                   8X8-AS-8X8-INC                                     NOC1522-ARIN (Abuse), NOC1522-ARIN (Admin), NOC1522-ARIN (Tech)
 62877                   AIR-METHODS-ASN-FOR-DENVER-OMAHA-SAN-BERNARDINO    RAJEW-ARIN (NOC), HOODJ3-ARIN (Admin), HOODJ3-ARIN (Abuse), HOODJ3-ARIN (NOC), RAJEW-ARIN (Tech)
 62878                   XLITT                                              NETWO7677-ARIN (Abuse), NETWO7677-ARIN (NOC), NETWO7677-ARIN (Admin), NETWO7677-ARIN (Tech)
 62879                   MDDHOSTING                                         TECHN1245-ARIN (Tech), ABUSE2810-ARIN (Abuse), NOC31788-ARIN (Admin), NOC31788-ARIN (NOC)
 62880                   BTG-ASN                                            ALM12-ARIN (Admin), ALM12-ARIN (Abuse), ALM12-ARIN (Tech)
 62881                   MONERIS                                            NETWO7916-ARIN (Tech), NETWO7916-ARIN (Abuse), NETWO7916-ARIN (Admin), NETWO7916-ARIN (NOC)
 62882                   MNK-HAZELWOOD-ASN                                  JHA323-ARIN (Tech), ARINN2-ARIN (NOC), ARINA8-ARIN (Abuse), JHA323-ARIN (Admin)
 62883                   GA-ASR                                             GOEDE-ARIN (Tech), GOEDE-ARIN (Abuse), GOEDE-ARIN (Admin), GOEDE-ARIN (NOC)
 62884                   HKLAW                                              ICM-ARIN (Abuse), ICM-ARIN (NOC), ICM-ARIN (Tech), ICM-ARIN (Admin)
 62885                   LJSILVERS-NET                                      TRAIN1-ARIN (Admin), TRAIN1-ARIN (Tech), TRAIN1-ARIN (NOC), TRAIN1-ARIN (Abuse)
 62886                   OMNITEL                                            INS-NOC-ARIN (Admin), NOC12280-ARIN (Tech), NNOC17-ARIN (Abuse), INS-NOC-ARIN (Tech)
 62887                   WHITESKY-COMMUNICATIONS                            ACW18-ARIN (Admin), ACW18-ARIN (Abuse), ACW18-ARIN (Tech), ACW18-ARIN (NOC)
 62888                   USIPCOM-1-ORMP                                     WILKI64-ARIN (NOC), WILKI64-ARIN (Admin), WILKI64-ARIN (Tech), WILKI64-ARIN (Abuse)
 62890                   HYDRADYNE-LLC                                      ONEIL54-ARIN (Admin), ONEIL54-ARIN (Abuse), ONEIL54-ARIN (NOC), HYDRA-ARIN (Abuse), HYDRA-ARIN (Tech), HYDRA-ARIN (NOC), ONEIL54-ARIN (Tech)
 62891                   ASN-CHIEF-1                                        NETWO6188-ARIN (NOC), NETWO6188-ARIN (Tech), NETWO6188-ARIN (Admin), NETWO6188-ARIN (Abuse)
 62892                   TW-EIS                                             CPO54-ARIN (Admin), SOC26-ARIN (NOC), CPO54-ARIN (Abuse), CPO54-ARIN (Tech)
 62893                   BORDERFREE-IAD1                                    NETWO6165-ARIN (Admin), NETWO6165-ARIN (Tech), NETWO6165-ARIN (Abuse)
 62895                   MOTLEY-RICE                                        BRANT8-ARIN (Tech), BRANT8-ARIN (Abuse), BRANT8-ARIN (NOC), BRANT8-ARIN (Admin)
 62896                   AC-01                                              RCK-ARIN (Tech), RCK-ARIN (Admin), RCK-ARIN (Abuse)
 62897                   APPDYNAMICS                                        ABUSE3941-ARIN (Abuse), VKT-ARIN (Tech), NETWO7883-ARIN (Tech), JIMEN34-ARIN (Tech), VKT-ARIN (Admin)
 62898                   SOSCOMM-1                                          NETWO5952-ARIN (Tech), NETWO5951-ARIN (Admin), NETWO5952-ARIN (NOC), NETWO5952-ARIN (Abuse)
 62899                   CLARITYHS                                          RBI38-ARIN (NOC), RBI38-ARIN (Abuse), RBI38-ARIN (Admin), RBI38-ARIN (Tech)
 62900                   COLOMX-LLC                                         PACER9-ARIN (Tech), ABUSE5617-ARIN (Abuse), NOCDE15-ARIN (NOC), PACER9-ARIN (Admin), PACER9-ARIN (NOC), PACER9-ARIN (Abuse)
 62901                   MOELIS-CO                                          INFRA61-ARIN (Admin), INFRA61-ARIN (Tech), INFRA61-ARIN (Abuse)
 62902                   LOCKERDOME                                         APPER14-ARIN (NOC), APPER14-ARIN (Admin), APPER14-ARIN (Tech), APPER14-ARIN (Abuse)
 62903                   MARTINBROS                                         SCHAR12-ARIN (Abuse), SCHAR12-ARIN (Admin), SCHAR12-ARIN (NOC), SCHAR12-ARIN (Tech)
 62904                   SERVERHUB-DALLAS                                   NOC31884-ARIN (Tech), NOC31884-ARIN (Admin), NOC31884-ARIN (NOC), NTS22-ARIN (Abuse)
 62905                   DART-CONTAINER-CORPORATION-ASN                     SUCIU-ARIN (Abuse), SUCIU-ARIN (Admin), NETWO7654-ARIN (Tech), SUCIU-ARIN (Tech), NETOP278-ARIN (NOC), KENTD3-ARIN (Abuse), KENTD3-ARIN (NOC), KENTD3-ARIN (Tech), NETOP278-ARIN (Abuse), SUCIU-ARIN (NOC)
 62906                   PPUSA                                              ABUSE2676-ARIN (Abuse), NOC11508-ARIN (Tech), REHMT-ARIN (Admin), NOC11508-ARIN (NOC)
 62907                   ZSCALER                                            POCNO1-ARIN (NOC), POCAD6-ARIN (Admin), POCTE3-ARIN (Tech), POCAB2-ARIN (Abuse)
 62908                   SOURCEMED                                          BNR-ARIN (Admin), OOSTI-ARIN (Tech), BNR-ARIN (Tech), BNR-ARIN (Abuse)
 62909                   FCCU-ASN1                                          NETWO6022-ARIN (Admin), NETWO6023-ARIN (Tech), ABUSE3755-ARIN (Abuse)
 62910                   ENVERASYSTEMS                                      EBH1-ARIN (Tech), EBH1-ARIN (NOC), EBH1-ARIN (Abuse), EBH1-ARIN (Admin)
 62911                   ALLDIGITAL                                         KLOPP2-ARIN (Tech), NOC13428-ARIN (Abuse), NOC13428-ARIN (Tech), NOC13428-ARIN (Admin), NOC13428-ARIN (NOC)
 62913                   SPEEDYNET                                          MENDE5-ARIN (NOC), MENDE5-ARIN (Abuse), MENDE5-ARIN (Tech), MENDE5-ARIN (Admin)
 62914                   MFI-ASN                                            KLL18-ARIN (NOC), KLL18-ARIN (Abuse), KLL18-ARIN (Admin), KLL18-ARIN (Tech)
 62915                   WTECHLINK                                          ABUSE3979-ARIN (Abuse), PERRY65-ARIN (NOC), PERRY65-ARIN (Admin), PERRY65-ARIN (Tech)
 62916                   WNL                                                NOC13435-ARIN (NOC), TECH822-ARIN (Tech), ADMIN4975-ARIN (Admin), ABUSE3977-ARIN (Abuse)
 62917                   GIGABITCO                                          ADMIN4290-ARIN (Tech), ADMIN4290-ARIN (Admin), ADMIN4290-ARIN (NOC), ADMIN4290-ARIN (Abuse)
 62918                   ASTM-INTL                                          ITDIR32-ARIN (Abuse), TRA50-ARIN (NOC), TRA50-ARIN (Tech), ITDIR32-ARIN (Admin)
 62919                   BLUECAT                                            NETWO6387-ARIN (NOC), NETWO6387-ARIN (Admin), NETWO6387-ARIN (Tech), NETWO6387-ARIN (Abuse)
 62920                   PRAIRIEPOWER                                       SMITH910-ARIN (Tech), SMITH910-ARIN (Abuse), SMITH910-ARIN (Admin), SMITH910-ARIN (NOC)
 62921                   ROXTEL538                                          TJWB-ARIN (Admin), TJWB-ARIN (Abuse), TJWB-ARIN (NOC), TJWB-ARIN (Tech)
 62922                   CJM                                                ADMIN4973-ARIN (Admin), TECH820-ARIN (Tech), ABUSE3974-ARIN (Abuse), NOC13429-ARIN (NOC)
 62923                   LWP-ASN                                            NOC11711-ARIN (Tech), NOC11711-ARIN (Abuse), NOC11711-ARIN (Admin)
 62924                   COBNET-ASN-1                                       CROUS3-ARIN (Abuse), CROUS3-ARIN (Admin), CROUS3-ARIN (Tech)
 62925                   IE-9003                                            GUINT1-ARIN (Admin), GUINT1-ARIN (Abuse), GUINT1-ARIN (Tech), GUINT1-ARIN (NOC)
 62926                   CHEVRON                                            BB1786-ARIN (Abuse), RV187-ARIN (Admin), BB1786-ARIN (Tech)
 62927                   MOOSE-TEC                                          HAUKL-ARIN (Tech), HAUKL-ARIN (Abuse), HAUKL-ARIN (NOC), HAUKL-ARIN (Admin)
 62928                   LVMH-EQ-SECAUCUS-INET                              MKR96-ARIN (Tech), MKR96-ARIN (Abuse), MKR96-ARIN (Admin)
 62929                   186-ASN                                            SMITH1147-ARIN (Tech), BNR-ARIN (Abuse), BNR-ARIN (Tech), BNR-ARIN (Admin), SMITH1147-ARIN (Abuse)
 62931                   PLAZA-LAS-AMERICAS                                 JEC27-ARIN (NOC), JEC27-ARIN (Admin), JEC27-ARIN (Tech), JEC27-ARIN (Abuse)
 62932                   AS-PHOENIX-1                                       ABUSE3870-ARIN (Abuse), SUPPO1432-ARIN (Tech), SUPPO1432-ARIN (Admin)
 62933                   SMC-AS                                             COPPO-ARIN (Admin), COPPO-ARIN (Abuse), COPPO-ARIN (Tech), COPPO-ARIN (NOC)
 62934                   FFBF-PROD01                                        MASTE37-ARIN (Tech), MASTE37-ARIN (NOC), MASTE37-ARIN (Admin), MASTE37-ARIN (Abuse)
 62936                   ARGUS-AS                                           NETWO6330-ARIN (Abuse), NETWO6330-ARIN (Tech), NETWO6330-ARIN (Admin)
 62937                   KIXEYE-INC                                         NDP3-ARIN (Tech), NDP3-ARIN (NOC), NDP3-ARIN (Admin), NDP3-ARIN (Abuse)
 62938                   SKY-VALLEY-NETWORK-LLC                             TAYLO317-ARIN (NOC), WFS1-ARIN (Tech), WFS1-ARIN (Admin), TAYLO317-ARIN (Abuse)
 62939                   PINKBIKE-US-DC1                                    NOC13437-ARIN (Admin), NOC13437-ARIN (Tech), NOC13437-ARIN (NOC), NOC13437-ARIN (Abuse)
 62940                   NETCHANGE                                          MMO193-ARIN (Tech), MMO193-ARIN (Admin), MMO193-ARIN (Abuse)
 62941                   VARIANCEM-AS                                       NOC32361-ARIN (Admin), NOC32361-ARIN (Abuse), NOC32361-ARIN (Tech), NOC32361-ARIN (NOC)
 62942                   WIDEVOICE-MIA                                      NETWO3128-ARIN (Tech), WVO7-ARIN (Admin), NETWO3128-ARIN (Abuse)
 62943                   AS62943-BLUEBIRD-NETWORK                           BUIPH-ARIN (Tech), DJO189-ARIN (Tech), DJO189-ARIN (Admin), KERRJ24-ARIN (Tech), DJO189-ARIN (NOC), DJO189-ARIN (Abuse), JJD25-ARIN (Tech)
 62944                   BURTON-BURLINGTON                                  MCA160-ARIN (Tech), MCA160-ARIN (Abuse), MCA160-ARIN (Admin)
 62945                   CORNERSTONE                                        ADMIN841-ARIN (Admin), SYSTE145-ARIN (Abuse), SYSTE145-ARIN (Tech)
 62946                   IPERWEB-LLC                                        SUPPO1447-ARIN (NOC), SUPPO1447-ARIN (Abuse), SUPPO1447-ARIN (Tech), SS429-ARIN (Admin)
 62947                   IMDC-AS1                                           GILBY-ARIN (NOC), LAPPA-ARIN (Tech), GILBY-ARIN (Tech), GILBY-ARIN (Admin), DAVIS1339-ARIN (Tech), GILBY-ARIN (Abuse)
 62948                   ALSAT-WIRELESS                                     ROWAN2-ARIN (NOC), ROWAN2-ARIN (Tech), LUELF-ARIN (Tech), LUELF-ARIN (Abuse), LUELF-ARIN (Admin), LUELF-ARIN (NOC)
 62949                   PHILLIPS450                                        CHUNG31-ARIN (Abuse), CHUNG31-ARIN (Admin), CHUNG31-ARIN (Tech), CHUNG31-ARIN (NOC)
 62950                   STOF-ASN                                           JA570-ARIN (Abuse), JA570-ARIN (Admin), JA570-ARIN (Tech)
 62951                   DDRCORP                                            BBO106-ARIN (Tech), BBO106-ARIN (Admin), BBO106-ARIN (Abuse)
 62952                   EVACOMM                                            MACAD-ARIN (Tech), MACAD-ARIN (NOC), MACAD-ARIN (Abuse), MACAD-ARIN (Admin)
 62953                   EXCEL-IND                                          EXCEL4-ARIN (Tech), EXCEL4-ARIN (Admin), EXCEL5-ARIN (Abuse)
 62954                   WTG-AS                                             WALSE1-ARIN (NOC), WALSE1-ARIN (Tech), WALSE1-ARIN (Abuse), WALSE1-ARIN (Admin)
 62955                   EBAYMTBB                                           EBAYN-ARIN (Tech), EBAYN-ARIN (Admin), EBAYN-ARIN (Abuse)
 62956                   FIBERHUB-DDOS                                      RTY1-ARIN (Admin), RTY1-ARIN (Abuse), RTY1-ARIN (Tech)
 62957                   HOSPITALITY-NETWORK                                SJA110-ARIN (Admin), SJA110-ARIN (Tech), SJA110-ARIN (Abuse)
 62958                   ADT-LLC                                            NETWO6270-ARIN (Tech), NETWO6270-ARIN (NOC), NETWO6270-ARIN (Abuse), NETWO6270-ARIN (Admin)
 62959                   INNOVSYS-1                                         REYNE1-ARIN (Tech), REYNE1-ARIN (NOC), REYNE1-ARIN (Abuse), REYNE1-ARIN (Admin)
 62960                   IWANTWIRELESS                                      MOORE257-ARIN (Tech), MOORE257-ARIN (Admin), MOORE257-ARIN (NOC), MOORE257-ARIN (Abuse)
 62961                   BISNET1                                            MACKI8-ARIN (Abuse), MACKI8-ARIN (Tech), MACKI8-ARIN (NOC), MACKI8-ARIN (Admin)
 62962                   HYLNETWORK                                         NOC16483-ARIN (Admin), NOC16483-ARIN (Abuse), NOC16483-ARIN (Tech)
